"","neighborhood","ofns_desc","count"
"351","Brooklyn Heights/Fort Greene","VEHICLE AND TRAFFIC LAWS",758
"352","Brownsville/Ocean Hill","(null)",1
"353","Brownsville/Ocean Hill","ADMINISTRATIVE CODE",157
"354","Brownsville/Ocean Hill","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",13
"355","Brownsville/Ocean Hill","ALCOHOLIC BEVERAGE CONTROL LAW",5
"356","Brownsville/Ocean Hill","ARSON",110
"357","Brownsville/Ocean Hill","ASSAULT 3 & RELATED OFFENSES",7504
"358","Brownsville/Ocean Hill","BURGLAR'S TOOLS",14
"359","Brownsville/Ocean Hill","BURGLARY",1086
"360","Brownsville/Ocean Hill","CANNABIS RELATED OFFENSES",2
"361","Brownsville/Ocean Hill","CHILD ABANDONMENT/NON SUPPORT",1
"362","Brownsville/Ocean Hill","CRIMINAL MISCHIEF & RELATED OF",5213
"363","Brownsville/Ocean Hill","CRIMINAL TRESPASS",239
"364","Brownsville/Ocean Hill","DANGEROUS DRUGS",1640
"365","Brownsville/Ocean Hill","DANGEROUS WEAPONS",1805
"366","Brownsville/Ocean Hill","DISORDERLY CONDUCT",12
"367","Brownsville/Ocean Hill","ENDAN WELFARE INCOMP",2
"368","Brownsville/Ocean Hill","FELONY ASSAULT",3710
"369","Brownsville/Ocean Hill","FELONY SEX CRIMES",1
"370","Brownsville/Ocean Hill","FORGERY",622
"371","Brownsville/Ocean Hill","FRAUDS",206
"372","Brownsville/Ocean Hill","GAMBLING",132
"373","Brownsville/Ocean Hill","GRAND LARCENY",2139
"374","Brownsville/Ocean Hill","GRAND LARCENY OF MOTOR VEHICLE",701
"375","Brownsville/Ocean Hill","HARRASSMENT 2",10013
"376","Brownsville/Ocean Hill","HOMICIDE-NEGLIGENT,UNCLASSIFIE",4
"377","Brownsville/Ocean Hill","HOMICIDE-NEGLIGENT-VEHICLE",1
"378","Brownsville/Ocean Hill","INTOXICATED & IMPAIRED DRIVING",332
"379","Brownsville/Ocean Hill","KIDNAPPING",5
"380","Brownsville/Ocean Hill","KIDNAPPING & RELATED OFFENSES",23
"381","Brownsville/Ocean Hill","MISCELLANEOUS PENAL LAW",2884
"382","Brownsville/Ocean Hill","MURDER & NON-NEGL. MANSLAUGHTER",73
"383","Brownsville/Ocean Hill","NEW YORK CITY HEALTH CODE",2
"384","Brownsville/Ocean Hill","NYS LAWS-UNCLASSIFIED FELONY",69
"385","Brownsville/Ocean Hill","NYS LAWS-UNCLASSIFIED VIOLATION",1
"386","Brownsville/Ocean Hill","OFF. AGNST PUB ORD SENSBLTY &",2787
"387","Brownsville/Ocean Hill","OFFENSES AGAINST PUBLIC ADMINI",636
"388","Brownsville/Ocean Hill","OFFENSES AGAINST PUBLIC SAFETY",1
"389","Brownsville/Ocean Hill","OFFENSES AGAINST THE PERSON",198
"390","Brownsville/Ocean Hill","OFFENSES INVOLVING FRAUD",143
"391","Brownsville/Ocean Hill","OTHER OFFENSES RELATED TO THEF",108
"392","Brownsville/Ocean Hill","OTHER STATE LAWS",6
"393","Brownsville/Ocean Hill","OTHER STATE LAWS (NON PENAL LA",30
"394","Brownsville/Ocean Hill","PETIT LARCENY",5783
"395","Brownsville/Ocean Hill","PETIT LARCENY OF MOTOR VEHICLE",5
"396","Brownsville/Ocean Hill","POSSESSION OF STOLEN PROPERTY",236
